Date,Group,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2024-04-18,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-19,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-20,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-21,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-22,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-23,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-24,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-25,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-26,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-27,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-28,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-29,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-04-30,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-01,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-02,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-03,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-04,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-05,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-06,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-07,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-08,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-09,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-10,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-11,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-12,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-13,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-14,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-15,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-16,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-17,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-18,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-19,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-20,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-21,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-22,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-23,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-24,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-25,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-26,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-27,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-28,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-29,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-30,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-05-31,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-06-01,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-06-02,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-06-03,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
2024-06-04,"'-",261.90,0.00,0.00,2.46,65.00,213.06,0.05,0.45,0.41,0.56,0.14,1.05,13.50,4.21,4.60,0.00,0.23,2.20,172.50,0.05,0.23,21.50,0.05,215.00,318.50,14.85,295.00,0.84,30.06,49.27,18.40,1.67,0.73,0.05,18.50,0.00,1.73,7.50,0.07,0.07,0.39,0.01,0.01,0.01,0.00,0.00,0.06,0.00,0.06,0.13,0.44,0.80,1.56,1.26,0.44,0.78,21.11,0.62,0.20,0.77,1.01,false
2024-06-04,"Breakfast",552.80,0.00,0.00,116.14,405.38,88.91,0.55,0.21,2.79,0.50,0.24,0.00,182.62,0.00,0.20,0.00,0.44,13.64,26.60,1.03,4.19,125.60,1.23,294.00,316.80,45.24,425.40,2.74,67.52,87.72,20.16,3.30,0.86,45.81,6.35,0.00,17.85,0.00,8.62,3.24,3.21,0.00,0.06,0.06,0.00,0.00,3.17,0.00,3.17,0.31,0.36,0.62,1.17,0.54,0.23,0.77,20.50,0.55,0.22,0.34,0.78,false
2024-06-04,"Lunch",786.67,0.00,0.00,146.54,176.45,568.17,0.33,0.52,5.68,2.27,1.23,0.43,145.39,139.88,236.77,30.72,5.57,73.16,416.07,0.71,12.99,153.05,1.92,369.58,2209.12,7.40,2819.80,3.15,74.88,100.47,25.37,6.16,3.43,23.12,26.72,0.00,12.07,9.60,1.53,0.82,3.05,0.09,0.15,0.15,0.00,0.00,0.28,0.00,0.28,0.12,0.24,0.41,0.67,0.62,0.16,0.43,72.98,0.38,0.13,0.34,0.51,false
2024-06-04,"Dinner",1246.51,0.00,251.01,108.98,1136.27,774.39,1.18,1.33,21.96,3.58,1.33,2.72,262.46,326.06,25.16,156.10,5.85,63.44,843.57,1.16,9.44,442.83,4.49,1078.04,2004.01,106.22,655.45,7.35,164.59,183.95,18.87,14.77,3.86,82.71,72.17,21.96,36.44,44.03,11.88,10.72,9.45,0.31,2.31,2.30,0.00,0.00,8.21,0.02,8.19,0.90,1.44,2.61,4.91,3.51,1.14,2.64,58.96,2.34,0.89,1.90,2.92,false
2024-06-04,"Total",2847.87,0.00,251.01,374.12,1783.10,1644.53,2.12,2.51,30.84,6.91,2.93,4.21,603.97,470.15,266.73,186.82,12.09,152.44,1458.73,2.95,26.84,742.98,7.69,1956.61,4848.42,173.71,4195.65,14.07,337.05,421.41,82.79,25.90,8.88,151.69,123.74,21.96,68.08,61.13,22.10,14.84,16.09,0.41,2.53,2.51,0.00,0.00,11.73,0.02,11.70,1.45,2.48,4.43,8.30,5.93,1.97,4.62,173.55,3.89,1.44,3.35,5.22,false
2024-06-05,"'-",1877.74,0.00,18.40,101.03,482.00,414.24,0.65,1.26,2.24,3.45,0.64,3.25,90.49,666.32,1.64,136.11,3.74,10.89,1652.54,0.59,3.59,177.77,2.17,957.80,1552.01,41.19,1222.31,5.67,192.38,202.42,9.93,4.13,2.27,8.82,155.99,92.15,91.05,379.54,13.44,9.61,49.81,1.36,1.44,1.40,0.02,0.01,7.80,0.08,7.71,0.83,1.36,2.89,5.40,4.63,1.27,2.37,80.98,2.80,1.01,2.05,3.20,false
2024-06-05,"Breakfast",942.47,0.00,33.33,176.32,900.02,283.71,0.51,0.43,4.34,2.18,0.67,1.09,67.12,164.59,17.28,88.23,0.78,41.23,371.21,1.15,6.74,273.38,3.45,715.64,1340.51,27.48,686.95,4.53,118.65,168.49,49.80,12.39,5.41,40.14,50.54,5.03,19.37,16.22,4.52,4.37,7.22,0.16,1.91,1.91,0.00,0.00,2.45,0.01,2.45,0.45,0.65,1.04,1.93,1.44,0.45,1.25,50.45,0.92,0.33,0.90,1.34,false
2024-06-05,"Lunch",848.04,0.00,0.00,2.12,230.11,229.97,0.22,1.00,3.22,4.48,0.65,1.67,211.25,236.04,14.36,130.50,4.69,34.72,96.22,0.30,2.78,62.33,0.28,346.13,1016.42,46.85,759.06,2.68,58.21,80.32,22.02,7.05,4.08,0.18,7.77,0.00,47.08,559.50,22.11,5.08,9.07,0.00,0.28,0.22,0.06,0.01,4.73,0.22,4.46,0.48,0.53,1.16,1.84,1.57,0.65,1.16,35.09,1.02,0.27,0.85,1.32,false
2024-06-05,"Dinner",1140.26,0.00,0.00,17.20,149.98,224.83,0.31,0.17,2.50,1.36,0.68,0.11,103.12,68.48,36.69,0.00,4.47,58.75,205.94,0.44,1.24,128.32,1.00,219.24,1131.09,3.78,2344.57,1.59,147.40,152.88,5.44,3.85,1.60,9.13,49.99,0.00,28.46,1.17,6.09,3.15,9.97,0.01,0.22,0.22,0.00,0.00,2.85,0.00,2.85,0.37,0.52,1.02,1.95,1.70,0.39,0.76,70.51,1.02,0.41,0.53,1.06,false
2024-06-05,"Snacks",451.25,0.00,251.01,5.13,83.65,654.30,0.26,1.16,6.97,1.97,0.36,3.09,19.08,214.78,5.11,153.60,0.36,3.09,633.39,0.11,0.38,160.43,0.11,598.51,1025.77,21.80,213.44,2.46,56.97,62.09,4.29,1.67,0.73,0.05,33.14,0.00,9.44,39.64,1.75,0.43,4.96,0.29,0.04,0.04,0.00,0.00,0.27,0.01,0.26,0.20,0.80,1.43,2.79,2.35,0.77,1.38,31.45,1.20,0.36,1.37,1.79,false
2024-06-05,"Total",5259.76,0.00,302.73,301.80,1845.75,1807.07,1.95,4.01,19.27,13.44,3.00,9.21,491.06,1350.20,75.09,508.44,14.04,148.67,2959.30,2.60,14.74,802.23,7.02,2837.32,6065.79,141.09,5226.32,16.93,573.62,666.19,91.48,29.09,14.08,58.32,297.43,97.18,195.40,996.06,47.90,22.65,81.03,1.81,3.90,3.78,0.07,0.02,18.09,0.32,17.72,2.33,3.86,7.55,13.90,11.68,3.53,6.91,268.49,6.96,2.38,5.69,8.71,false
2024-06-06,"'-",433.23,0.00,0.00,61.03,350.93,232.73,0.17,0.21,3.29,1.05,0.44,0.46,43.27,39.99,18.62,1.96,3.59,2.10,213.61,0.41,1.02,126.60,1.03,257.89,856.13,3.98,50.53,2.45,38.57,45.09,6.44,5.24,1.15,7.76,26.33,1.26,20.93,11.99,7.63,7.50,4.50,0.11,0.84,0.84,0.00,0.00,6.59,0.00,6.59,0.31,0.55,0.99,1.95,1.55,0.40,0.93,22.29,0.93,0.36,0.71,1.13,false
2024-06-06,"Breakfast",1074.62,0.00,234.13,155.72,809.97,710.75,0.73,1.50,9.04,4.64,0.83,3.83,110.68,482.16,17.53,298.11,1.87,41.87,726.83,1.13,6.42,355.52,3.26,1108.45,1991.63,58.32,1040.10,6.42,114.31,144.73,30.36,9.39,4.97,39.53,56.51,5.03,35.39,414.92,9.71,3.71,14.70,0.37,0.22,0.17,0.04,0.01,3.35,0.16,3.18,0.76,1.18,2.16,3.85,3.12,1.05,2.29,60.85,1.92,0.57,1.84,2.63,false
2024-06-06,"Lunch",901.67,0.00,0.00,148.09,243.65,850.30,0.43,0.65,7.94,2.94,1.63,0.43,290.07,321.74,359.12,30.72,8.60,87.27,453.63,1.08,13.56,186.85,2.14,417.02,2778.80,9.50,1527.56,3.47,127.26,158.82,30.76,9.45,5.55,23.89,80.83,8.21,11.37,9.60,2.00,1.06,2.28,0.09,0.32,0.32,0.00,0.00,0.35,0.00,0.34,0.12,0.30,0.51,0.84,0.85,0.19,0.52,51.47,0.49,0.17,0.40,0.65,false
2024-06-06,"Dinner",779.30,0.00,0.00,86.11,815.92,544.62,0.48,0.26,8.18,1.88,0.63,0.00,98.78,758.47,69.74,0.00,5.03,108.94,132.20,0.96,6.58,197.13,3.95,494.04,1318.42,11.08,1957.04,4.71,99.80,119.79,19.97,10.72,1.52,63.17,21.20,0.00,19.23,0.00,6.30,3.98,5.94,0.00,0.19,0.19,0.00,0.00,2.05,0.00,2.00,0.41,0.48,0.73,1.37,0.61,0.33,0.99,41.44,0.65,0.19,0.50,0.90,false
2024-06-06,"Snacks",520.79,0.00,0.00,46.51,126.40,21.50,0.31,0.34,5.97,0.99,0.18,0.23,98.53,13.33,1.31,0.00,1.38,1.49,282.34,0.19,2.19,78.08,0.61,286.40,449.55,18.18,455.61,1.98,48.24,52.18,3.84,1.83,0.88,16.41,14.50,10.35,14.03,2.33,7.33,3.22,2.61,0.01,0.15,0.14,0.00,0.00,3.08,0.00,3.07,0.77,0.94,2.12,4.09,3.41,0.80,1.70,47.03,2.10,0.83,1.27,2.18,false
2024-06-06,"Total",3709.60,0.00,234.13,497.46,2346.87,2359.89,2.11,2.97,34.43,11.51,3.72,4.95,641.32,1615.68,466.32,330.79,20.46,241.67,1808.60,3.76,29.77,944.18,10.98,2563.78,7394.52,101.06,5030.84,19.03,428.17,520.61,91.37,36.64,14.07,150.76,199.37,24.86,100.96,438.85,32.97,19.46,30.03,0.58,1.72,1.66,0.04,0.01,15.42,0.17,15.18,2.36,3.45,6.51,12.11,9.53,2.77,6.43,223.08,6.09,2.13,4.71,7.50,false
2024-06-07,"'-",822.01,0.00,18.40,104.68,575.07,478.63,0.52,0.76,4.67,1.86,0.45,1.25,185.25,119.92,5.96,76.76,2.93,6.81,437.67,0.62,3.40,165.18,2.19,612.68,1183.04,19.09,1228.97,4.49,109.74,144.88,34.94,10.09,1.35,29.64,61.96,0.00,14.49,16.35,3.18,4.04,4.76,0.14,0.37,0.36,0.00,0.00,2.48,0.00,2.47,0.74,1.04,2.06,4.38,3.81,0.89,1.78,52.50,2.04,0.77,1.43,2.28,false
2024-06-07,"Breakfast",723.70,0.00,33.33,153.58,795.05,357.75,0.56,0.93,3.79,3.51,0.65,2.20,106.22,313.70,17.12,175.23,1.76,41.16,358.11,1.08,6.29,244.38,3.21,801.64,1425.81,52.76,273.35,5.12,84.09,98.50,14.36,9.39,4.97,39.53,38.76,5.03,24.70,389.22,8.37,3.42,9.51,0.15,0.20,0.15,0.04,0.01,3.18,0.15,3.02,0.70,0.89,1.65,2.87,2.25,0.78,1.81,35.58,1.45,0.44,1.36,2.01,false
2024-06-07,"Lunch",385.24,,,,,,,,,,,,,,,52.80,,,214.50,,2.38,,,,775.50,,2944.00,,42.86,44.51,1.65,,,,17.66,4.95,12.08,66.00,,,4.98,0.00,,,,,,,,,,,,,,,23.78,,,,,false
2024-06-07,"Dinner",937.13,0.00,0.00,1718.20,13.00,184.50,8.24,8.49,42.92,9.32,8.76,7.20,698.00,518.58,52.95,0.00,3.99,782.17,180.56,0.16,3.42,163.00,0.80,87.50,874.56,21.15,2460.92,3.56,99.38,108.80,9.39,2.50,0.68,0.15,11.66,0.00,26.96,0.00,4.32,1.16,9.58,0.01,0.45,0.45,0.00,0.00,0.57,0.00,0.57,0.05,0.10,0.23,0.34,0.27,0.08,0.20,65.46,0.19,0.06,0.17,0.25,false
2024-06-07,"Snacks",480.26,0.00,200.81,34.35,105.21,367.14,0.35,0.68,9.44,1.47,0.27,1.63,72.38,168.46,1.29,122.88,1.06,0.79,421.91,0.18,1.55,149.33,0.48,400.99,715.95,15.59,585.11,2.02,53.06,71.08,17.93,1.31,0.63,11.72,25.48,7.40,16.35,25.71,6.44,2.34,5.50,0.23,0.10,0.10,0.00,0.00,2.16,0.01,2.14,0.15,0.46,0.76,1.47,1.11,0.36,0.85,21.80,0.68,0.20,0.73,0.91,false
2024-06-07,"Total",3348.34,0.00,252.53,2010.82,1488.33,1388.03,9.66,10.87,60.82,16.16,10.13,12.29,1061.85,1120.67,77.32,427.67,9.74,830.93,1612.75,2.03,17.04,721.89,6.68,1902.81,4974.87,108.59,7492.35,15.19,389.12,467.76,78.26,23.29,7.63,81.03,155.52,17.38,94.59,497.28,22.30,10.96,34.33,0.53,1.11,1.06,0.04,0.01,8.39,0.17,8.20,1.64,2.48,4.69,9.06,7.43,2.11,4.64,199.11,4.36,1.46,3.68,5.45,false
2024-06-08,"'-",379.58,0.00,0.00,26.97,32.46,284.21,0.40,0.18,1.22,0.56,0.31,0.00,111.60,1053.38,124.24,0.00,8.07,117.39,87.83,0.15,2.11,34.10,0.56,107.47,488.77,1.96,618.93,0.78,74.91,85.89,10.70,7.95,1.52,1.22,21.93,0.00,1.05,0.00,0.06,0.51,0.18,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.10,0.12,0.24,0.31,0.32,0.07,0.20,8.27,0.29,0.06,0.14,0.28,false
2024-06-08,"Breakfast",951.18,0.00,46.66,215.01,1113.08,471.00,0.75,1.10,5.28,4.36,0.87,2.64,131.10,379.45,23.97,210.52,2.05,57.50,481.36,1.50,8.34,338.13,4.48,1053.49,1945.74,61.54,333.09,6.75,117.28,137.45,20.10,13.15,6.95,55.34,53.82,7.05,30.34,395.70,10.09,4.22,12.00,0.21,0.25,0.20,0.04,0.01,3.93,0.16,3.76,0.86,1.13,2.03,3.59,2.79,0.94,2.27,44.78,1.79,0.55,1.69,2.51,false
2024-06-08,"Lunch",30.40,0.00,0.00,0.03,0.00,1.71,0.00,0.00,0.01,0.01,0.00,0.00,0.20,0.00,0.05,0.00,0.00,0.00,0.60,0.00,0.04,0.20,0.01,0.40,5.20,0.08,0.40,0.02,8.18,8.24,0.02,0.00,0.00,0.00,8.21,8.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,false
2024-06-08,"Dinner",373.78,0.00,0.00,39.68,813.53,191.41,0.33,0.16,5.99,1.17,0.26,0.00,41.65,0.46,0.00,0.00,0.87,3.95,39.14,0.60,4.13,137.72,3.23,396.80,383.68,10.41,678.32,3.95,67.28,77.52,10.24,8.81,1.43,59.10,7.48,0.00,2.78,0.00,0.51,1.44,0.47,0.00,0.08,0.08,0.00,0.00,1.37,0.00,1.37,0.36,0.39,0.60,1.16,0.45,0.28,0.80,15.87,0.48,0.14,0.41,0.74,false
2024-06-08,"Snacks",3736.46,0.19,376.51,227.12,842.25,1499.34,2.66,2.81,53.51,8.24,3.50,10.64,528.38,549.94,52.91,338.72,13.16,40.64,1444.77,1.72,19.97,669.37,7.23,2087.15,4469.74,177.42,5082.61,23.21,373.83,407.23,30.85,21.55,8.74,145.66,195.70,78.45,160.56,517.20,64.55,19.96,54.51,4.39,1.54,1.50,0.01,0.01,17.65,0.15,17.37,1.68,3.99,5.75,10.52,8.85,2.76,6.06,177.90,5.13,1.26,4.60,6.73,false
2024-06-08,"Total",5471.39,0.19,423.17,508.81,2801.31,2447.68,4.13,4.25,66.01,14.34,4.95,13.28,812.94,1983.23,201.16,549.24,24.14,219.48,2053.70,3.97,34.59,1179.52,15.50,3645.31,7293.12,251.42,6713.35,34.72,641.48,716.33,71.91,51.47,18.64,261.32,287.14,93.71,194.74,912.90,75.20,26.13,67.15,4.60,2.04,1.95,0.05,0.01,22.94,0.31,22.50,3.00,5.63,8.63,15.59,12.40,4.06,9.33,246.85,7.69,2.02,6.84,10.25,false
2024-06-09,"'-",1164.91,0.00,0.00,68.24,238.88,748.21,0.91,1.16,9.35,2.93,0.85,2.12,161.95,636.25,88.58,52.43,7.80,148.90,729.31,0.80,6.90,203.94,4.18,835.38,1730.20,65.11,2260.27,5.41,122.06,141.50,19.19,9.30,2.91,37.54,49.66,15.30,41.67,75.00,14.35,7.70,15.08,0.59,0.83,0.83,0.00,0.00,4.72,0.01,4.71,0.49,1.14,2.03,3.60,2.86,0.86,2.07,60.23,1.68,0.56,1.85,2.40,false
2024-06-09,"Breakfast",796.18,0.00,46.66,215.01,1113.08,396.38,0.69,0.59,5.21,2.96,0.74,1.53,87.10,230.12,23.97,123.52,1.02,57.20,431.36,1.49,7.15,328.13,4.45,881.49,1819.74,30.74,209.09,5.70,116.17,136.33,20.10,13.15,6.95,55.34,52.70,7.05,19.73,22.70,6.01,2.81,8.74,0.21,0.18,0.17,0.00,0.00,2.62,0.01,2.61,0.57,0.83,1.35,2.51,1.88,0.55,1.60,32.20,1.19,0.40,1.18,1.74,false
2024-06-09,"Lunch",873.67,0.00,0.00,48.69,160.69,329.78,1.63,0.83,11.84,0.93,0.38,0.00,595.13,928.22,76.28,0.00,3.10,121.58,134.93,0.23,7.74,58.76,1.05,186.41,906.78,8.87,1560.70,1.31,122.07,149.37,27.00,8.67,2.48,33.72,16.16,0.00,11.78,0.00,5.10,1.54,1.55,0.01,0.25,0.25,0.00,0.00,0.95,0.00,0.95,0.22,0.26,0.47,0.75,0.51,0.18,0.50,52.28,0.48,0.14,0.33,0.54,false
2024-06-09,"Snacks",2414.12,9.92,376.51,128.19,507.18,1575.58,1.86,2.17,36.68,6.54,2.33,6.06,342.32,413.84,108.09,303.96,9.89,26.37,1258.50,1.24,10.94,568.20,6.15,1614.32,3661.75,116.91,2299.74,13.95,288.23,316.78,26.81,18.18,6.87,95.28,132.07,33.17,81.90,259.87,31.73,10.66,30.10,2.12,0.89,0.86,0.01,0.00,9.35,0.10,9.20,1.00,2.37,3.51,6.48,5.34,1.71,3.68,96.57,3.11,0.83,2.88,4.14,false
2024-06-09,"Total",5248.88,9.92,423.17,460.15,2019.82,3049.95,5.09,4.74,63.08,13.36,4.31,9.71,1186.50,2208.43,296.91,479.91,21.80,354.06,2554.10,3.76,32.73,1159.03,15.83,3517.60,8118.47,221.63,6329.80,26.37,648.53,743.98,93.11,49.29,19.20,221.87,250.60,55.52,155.09,357.57,57.18,22.71,55.45,2.93,2.14,2.11,0.01,0.01,17.64,0.12,17.47,2.28,4.60,7.35,13.34,10.59,3.30,7.85,241.27,6.46,1.93,6.24,8.82,false
2024-06-10,"'-",1520.38,0.00,0.00,77.57,674.62,532.86,0.82,1.31,5.18,2.42,0.68,2.56,192.00,351.50,50.20,76.33,3.50,12.82,630.64,0.74,5.28,175.33,1.64,726.00,1492.61,39.25,548.31,4.59,175.74,188.47,11.37,7.79,3.53,39.94,120.57,55.33,61.40,166.45,13.00,13.56,26.89,1.10,2.12,2.10,0.01,0.00,10.91,0.03,10.88,0.68,1.33,2.45,4.63,3.63,1.14,2.36,61.97,2.13,0.76,1.98,2.87,false
2024-06-10,"Breakfast",469.16,0.00,23.00,100.62,530.10,116.11,0.30,0.34,0.88,1.21,0.17,0.75,20.35,43.92,0.03,48.00,0.30,2.08,258.84,0.60,3.62,136.11,2.00,444.67,594.69,17.88,148.07,2.90,67.94,79.64,11.70,5.67,3.23,28.16,34.59,0.00,8.70,15.78,2.37,1.45,3.81,0.14,0.08,0.08,0.00,0.00,1.36,0.01,1.35,0.49,0.53,1.14,2.16,1.82,0.46,1.02,24.75,1.06,0.42,0.78,1.31,false
2024-06-10,"Lunch",568.75,0.00,0.00,213.53,766.62,818.17,0.55,0.35,3.73,2.08,0.68,0.00,608.32,227.37,12.56,0.00,2.23,227.39,143.23,0.85,11.69,151.97,1.91,571.84,1473.47,11.92,1999.31,4.17,84.65,104.20,19.27,17.75,1.52,79.69,3.25,0.00,6.13,0.00,1.27,3.37,0.91,0.03,0.46,0.46,0.00,0.00,2.85,0.00,2.85,0.37,0.79,1.23,2.05,1.97,0.25,1.39,28.57,1.03,0.26,0.76,1.41,false
2024-06-10,"Dinner",795.83,0.00,0.00,0.70,1.00,45.86,0.02,0.04,0.15,0.22,0.04,0.00,48.50,59.33,7.50,0.00,1.05,57.82,80.06,0.04,0.76,23.50,0.16,26.00,184.56,0.15,2269.62,0.24,94.24,95.05,0.80,0.69,0.11,0.00,11.03,0.00,22.96,0.00,4.29,0.78,9.13,0.01,0.13,0.13,0.00,0.00,0.57,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.19,0.00,0.00,0.00,0.00,false
